bacc_inst,field,field_1,field_2,current_inst,year,...6
vassar college,"chemistry - macromolecular (including polymer chemistry), supramolecular, and na",chemistry,"macromolecular (including polymer chemistry), supramolecular, and na",cornell university,2025,NA
university of miami,"chemistry - macromolecular (including polymer chemistry), supramolecular, and na",chemistry,"macromolecular (including polymer chemistry), supramolecular, and na",carnegie-mellon university,2025,NA
william marsh rice university,"chemistry - macromolecular (including polymer chemistry), supramolecular, and na",chemistry,"macromolecular (including polymer chemistry), supramolecular, and na",massachusetts institute of technology,2025,NA
cornell university,"chemistry - macromolecular (including polymer chemistry), supramolecular, and na",chemistry,"macromolecular (including polymer chemistry), supramolecular, and na",harvard university,2025,NA
university of california-los angeles,"chemistry - macromolecular (including polymer chemistry), supramolecular, and na",chemistry,"macromolecular (including polymer chemistry), supramolecular, and na",NA,2025,NA
columbia university,"chemistry - macromolecular (including polymer chemistry), supramolecular, and na",chemistry,"macromolecular (including polymer chemistry), supramolecular, and na",harvard university,2025,NA
university of illinois at urbana-champaign,chemistry - other (specify) - electrochemistry,chemistry,other (specify) - electrochemistry,university of illinois at urbana-champaign,2025,NA
yale university,chemistry - other (specify) - inorganic,chemistry,other (specify) - inorganic,yale university,2025,NA
wichita state university,chemistry - other (specify) - physical,chemistry,other (specify) - physical,wichita state university,2025,NA
iowa state university of science and technology,chemistry - other (specify) - solid-state/materials chemistry,chemistry,other (specify) - solid-state/materials chemistry,iowa state university of science and technology,2025,NA
massachusetts institute of technology,chemistry - quantum information science,chemistry,quantum information science,massachusetts institute of technology,2025,NA
california institute of technology,chemistry - sustainable chemistry,chemistry,sustainable chemistry,california institute of technology,2025,NA
western washington university,chemistry - sustainable chemistry,chemistry,sustainable chemistry,university of washington,2025,NA
massachusetts institute of technology,comp/is/eng - algorithms and theoretical foundations,comp/is/eng,algorithms and theoretical foundations,massachusetts institute of technology,2025,NA
princeton university,comp/is/eng - algorithms and theoretical foundations,comp/is/eng,algorithms and theoretical foundations,princeton university,2025,NA
"university of maryland, college park",comp/is/eng - algorithms and theoretical foundations,comp/is/eng,algorithms and theoretical foundations,carnegie mellon university,2025,NA
harvey mudd college,comp/is/eng - algorithms and theoretical foundations,comp/is/eng,algorithms and theoretical foundations,harvey mudd college,2025,NA
mcgill university,comp/is/eng - artificial intelligence,comp/is/eng,artificial intelligence,NA,2025,NA
university of california-berkeley,comp/is/eng - artificial intelligence,comp/is/eng,artificial intelligence,university of washington,2025,NA
johns hopkins university,comp/is/eng - artificial intelligence,comp/is/eng,artificial intelligence,johns hopkins university,2025,NA
duke university,comp/is/eng - artificial intelligence,comp/is/eng,artificial intelligence,NA,2025,NA
new york university,comp/is/eng - artificial intelligence,comp/is/eng,artificial intelligence,new york university,2025,NA
"university of california, berkeley",comp/is/eng - artificial intelligence,comp/is/eng,artificial intelligence,"university of california, berkeley",2025,NA
columbia university,comp/is/eng - artificial intelligence,comp/is/eng,artificial intelligence,columbia university,2025,NA
stanford leland junior university,"comp/is/eng - augmented reality/virtual reality, graphics, and visualization",comp/is/eng,"augmented reality/virtual reality, graphics, and visualization",stanford leland junior university,2025,NA
university of illinois at urbana-champaign,"comp/is/eng - augmented reality/virtual reality, graphics, and visualization",comp/is/eng,"augmented reality/virtual reality, graphics, and visualization",university of illinois at urbana-champaign,2025,NA
pepperdine university,comp/is/eng - bioinformatics and bio-inspired computing,comp/is/eng,bioinformatics and bio-inspired computing,pepperdine university,2025,NA
massachusetts institute of technology,comp/is/eng - bioinformatics and bio-inspired computing,comp/is/eng,bioinformatics and bio-inspired computing,massachusetts institute of technology,2025,NA
university of illinois at urbana-champaign,comp/is/eng - bioinformatics and bio-inspired computing,comp/is/eng,bioinformatics and bio-inspired computing,university of illinois at urbana-champaign,2025,NA
university of illinois at urbana-champaign,comp/is/eng - communication and information theory,comp/is/eng,communication and information theory,university of illinois at urbana-champaign,2025,NA
massachusetts institute of technology,comp/is/eng - communication and information theory,comp/is/eng,communication and information theory,massachusetts institute of technology,2025,NA
duke university,comp/is/eng - computer architecture,comp/is/eng,computer architecture,harvard university,2025,NA
"university of california, berkeley",comp/is/eng - computer architecture,comp/is/eng,computer architecture,"university of california, berkeley",2025,NA
cornell university,comp/is/eng - computer architecture,comp/is/eng,computer architecture,cornell university,2025,NA
university of california-los angeles,comp/is/eng - computer security and privacy,comp/is/eng,computer security and privacy,carnegie-mellon university,2025,NA
massachusetts institute of technology,comp/is/eng - computer security and privacy,comp/is/eng,computer security and privacy,massachusetts institute of technology,2025,NA
cornell university,comp/is/eng - computer systems,comp/is/eng,computer systems,cornell university,2025,NA
stanford university,comp/is/eng - computer systems,comp/is/eng,computer systems,stanford university,2025,NA
massachusetts institute of technology,comp/is/eng - computer vision,comp/is/eng,computer vision,massachusetts institute of technology,2025,NA
carnegie-mellon university,comp/is/eng - computer vision,comp/is/eng,computer vision,NA,2025,NA
california institute of technology,comp/is/eng - computer vision,comp/is/eng,computer vision,california institute of technology,2025,NA
"university of california, berkeley",comp/is/eng - computer vision,comp/is/eng,computer vision,carnegie-mellon university,2025,NA
stanford university,comp/is/eng - computer vision,comp/is/eng,computer vision,stanford university,2025,NA
carnegie-mellon university,"comp/is/eng - data science, data mining, information retrieval and databases",comp/is/eng,"data science, data mining, information retrieval and databases",massachusetts institute of technology,2025,NA
cuny hunter college,"comp/is/eng - data science, data mining, information retrieval and databases",comp/is/eng,"data science, data mining, information retrieval and databases",cuny hunter college,2025,NA
babson college,"comp/is/eng - data science, data mining, information retrieval and databases",comp/is/eng,"data science, data mining, information retrieval and databases",worcester polytechnic institute,2025,NA
ohio state university,"comp/is/eng - fairness, explainability, accountability and transparency in analy",comp/is/eng,"fairness, explainability, accountability and transparency in analy",university of illinois at urbana-champaign,2025,NA
duke university,"comp/is/eng - fairness, explainability, accountability and transparency in analy",comp/is/eng,"fairness, explainability, accountability and transparency in analy",duke university,2025,NA
university of southern california,"comp/is/eng - fairness, explainability, accountability and transparency in analy",comp/is/eng,"fairness, explainability, accountability and transparency in analy",university of southern california,2025,NA
brown university,"comp/is/eng - formal methods, verification, and programming languages",comp/is/eng,"formal methods, verification, and programming languages",northeastern university,2025,NA
university of oregon,"comp/is/eng - formal methods, verification, and programming languages",comp/is/eng,"formal methods, verification, and programming languages",NA,2025,NA
northeastern university,"comp/is/eng - formal methods, verification, and programming languages",comp/is/eng,"formal methods, verification, and programming languages",northeastern university,2025,NA
brown university,comp/is/eng - human computer interaction,comp/is/eng,human computer interaction,NA,2025,NA
stanford university,comp/is/eng - human computer interaction,comp/is/eng,human computer interaction,stanford university,2025,NA
university of california-san diego,comp/is/eng - human computer interaction,comp/is/eng,human computer interaction,university of california-san diego,2025,NA
northeastern university,comp/is/eng - human computer interaction,comp/is/eng,human computer interaction,northeastern university,2025,NA
harvard university,comp/is/eng - human computer interaction,comp/is/eng,human computer interaction,harvard university,2025,NA
western washington university,comp/is/eng - information science,comp/is/eng,information science,NA,2025,NA
university of illinois at urbana-champaign,comp/is/eng - machine learning,comp/is/eng,machine learning,university of illinois at urbana-champaign,2025,NA
william marsh rice university,comp/is/eng - machine learning,comp/is/eng,machine learning,william marsh rice university,2025,NA
"university of maryland, college park",comp/is/eng - machine learning,comp/is/eng,machine learning,NA,2025,NA
"harvard college, president & fellows of",comp/is/eng - machine learning,comp/is/eng,machine learning,"harvard college, president & fellows of",2025,NA
"university of california, berkeley",comp/is/eng - machine learning,comp/is/eng,machine learning,"university of california, berkeley",2025,NA
dartmouth college,comp/is/eng - machine learning,comp/is/eng,machine learning,carnegie-mellon university,2025,NA
cornell university,comp/is/eng - machine learning,comp/is/eng,machine learning,cornell university,2025,NA
massachusetts institute of technology,comp/is/eng - machine learning,comp/is/eng,machine learning,massachusetts institute of technology,2025,NA
california institute of technology,comp/is/eng - machine learning,comp/is/eng,machine learning,california institute of technology,2025,NA
cornell university,comp/is/eng - machine learning,comp/is/eng,machine learning,NA,2025,NA
arizona state university,comp/is/eng - machine learning,comp/is/eng,machine learning,arizona state university,2025,NA
california institute of technology,comp/is/eng - machine learning,comp/is/eng,machine learning,california institute of technology,2025,NA
university of california san diego,comp/is/eng - machine learning,comp/is/eng,machine learning,university of california san diego,2025,NA
california institute of technology,comp/is/eng - machine learning,comp/is/eng,machine learning,california institute of technology,2025,NA
university of california-santa cruz,comp/is/eng - machine learning,comp/is/eng,machine learning,massachusetts institute of technology,2025,NA
the university of texas at austin,comp/is/eng - machine learning,comp/is/eng,machine learning,the university of texas at austin,2025,NA
california institute of technology,comp/is/eng - machine learning,comp/is/eng,machine learning,california institute of technology,2025,NA
georgia institute of technology,comp/is/eng - natural language processing,comp/is/eng,natural language processing,NA,2025,NA
university of southern california,comp/is/eng - natural language processing,comp/is/eng,natural language processing,university of southern california,2025,NA
harvard university,comp/is/eng - natural language processing,comp/is/eng,natural language processing,university of southern california,2025,NA
carnegie-mellon university,comp/is/eng - natural language processing,comp/is/eng,natural language processing,NA,2025,NA
university of california-san diego,comp/is/eng - other (specify) - computer science education,comp/is/eng,other (specify) - computer science education,university of california-san diego,2025,NA
"rutgers, the state university of new jersey",comp/is/eng - quantum information science,comp/is/eng,quantum information science,"rutgers, the state university of new jersey",2025,NA
california institute of technology,comp/is/eng - quantum information science,comp/is/eng,quantum information science,california institute of technology,2025,NA
"university of california, berkeley",comp/is/eng - robotics,comp/is/eng,robotics,"university of california, berkeley",2025,NA
university of utah,comp/is/eng - robotics,comp/is/eng,robotics,university of utah,2025,NA
colorado school of mines,comp/is/eng - robotics,comp/is/eng,robotics,colorado school of mines,2025,NA
harvard university,comp/is/eng - robotics,comp/is/eng,robotics,harvard university,2025,NA
university of pennsylvania,comp/is/eng - robotics,comp/is/eng,robotics,university of pennsylvania,2025,NA
"university of california, berkeley",comp/is/eng - robotics,comp/is/eng,robotics,NA,2025,NA
university of california san diego,comp/is/eng - robotics,comp/is/eng,robotics,university of california san diego,2025,NA
stanford leland junior university,comp/is/eng - robotics,comp/is/eng,robotics,stanford leland junior university,2025,NA
stanford university,comp/is/eng - robotics,comp/is/eng,robotics,stanford university,2025,NA
university of illinois at urbana-champaign,comp/is/eng - robotics,comp/is/eng,robotics,university of illinois at urbana-champaign,2025,NA
columbia university,comp/is/eng - robotics,comp/is/eng,robotics,massachusetts institute of technology,2025,NA
harvard university,comp/is/eng - robotics,comp/is/eng,robotics,harvard university,2025,NA
university of illinois at urbana-champaign,comp/is/eng - scientific computing,comp/is/eng,scientific computing,university of illinois at urbana-champaign,2025,NA
regents of the university of michigan - ann arbor,comp/is/eng - software engineering,comp/is/eng,software engineering,university of pennsylvania,2025,NA
college of charleston,engineering - aeronautical and aerospace engineering,engineering,aeronautical and aerospace engineering,iowa state university,2025,NA
carthage college,engineering - aeronautical and aerospace engineering,engineering,aeronautical and aerospace engineering,carthage college,2025,NA
university of notre dame,engineering - aeronautical and aerospace engineering,engineering,aeronautical and aerospace engineering,university of notre dame,2025,NA
auburn university,engineering - aeronautical and aerospace engineering,engineering,aeronautical and aerospace engineering,auburn university,2025,NA
franklin w. olin college of engineering,engineering - aeronautical and aerospace engineering,engineering,aeronautical and aerospace engineering,franklin w. olin college of engineering,2025,NA
embry-riddle aeronautical university,engineering - aeronautical and aerospace engineering,engineering,aeronautical and aerospace engineering,embry-riddle aeronautical university,2025,NA
university of kentucky,engineering - aeronautical and aerospace engineering,engineering,aeronautical and aerospace engineering,university of kentucky,2025,NA
university of washington,engineering - aeronautical and aerospace engineering,engineering,aeronautical and aerospace engineering,texas a&m university,2025,NA
california institute of technology,engineering - aeronautical and aerospace engineering,engineering,aeronautical and aerospace engineering,california institute of technology,2025,NA
utah state university,engineering - aeronautical and aerospace engineering,engineering,aeronautical and aerospace engineering,utah state university,2025,NA
california institute of technology,engineering - aeronautical and aerospace engineering,engineering,aeronautical and aerospace engineering,california institute of technology,2025,NA
"harvard college, president & fellows of",engineering - aeronautical and aerospace engineering,engineering,aeronautical and aerospace engineering,NA,2025,NA
university of washington,engineering - aeronautical and aerospace engineering,engineering,aeronautical and aerospace engineering,university of washington,2025,NA
california institute of technology,engineering - aeronautical and aerospace engineering,engineering,aeronautical and aerospace engineering,purdue university,2025,NA
georgia institute of technology,engineering - aeronautical and aerospace engineering,engineering,aeronautical and aerospace engineering,massachusetts institute of technology,2025,NA
lehigh university,engineering - aeronautical and aerospace engineering,engineering,aeronautical and aerospace engineering,lehigh university,2025,NA
georgia institute of technology,engineering - aeronautical and aerospace engineering,engineering,aeronautical and aerospace engineering,georgia institute of technology,2025,NA
university of texas at el paso,engineering - aeronautical and aerospace engineering,engineering,aeronautical and aerospace engineering,georgia institute of technology,2025,NA
new mexico institute of mining and technology,engineering - aeronautical and aerospace engineering,engineering,aeronautical and aerospace engineering,new mexico institute of mining and technology,2025,NA
oklahoma state university,engineering - aeronautical and aerospace engineering,engineering,aeronautical and aerospace engineering,oklahoma state university,2025,NA
university of colorado at boulder,engineering - aeronautical and aerospace engineering,engineering,aeronautical and aerospace engineering,university of colorado at boulder,2025,NA
university of toronto,engineering - aeronautical and aerospace engineering,engineering,aeronautical and aerospace engineering,university of toronto,2025,NA
north carolina state university,engineering - agricultural engineering,engineering,agricultural engineering,north carolina state university,2025,NA
university of california san diego,engineering - bioengineering,engineering,bioengineering,university of california san diego,2025,NA
duke university,engineering - bioengineering,engineering,bioengineering,duke university,2025,NA
university of utah,engineering - bioengineering,engineering,bioengineering,university of california san diego,2025,NA
northeastern university,engineering - bioengineering,engineering,bioengineering,"university of california, san francisco",2025,NA
northeastern university,engineering - bioengineering,engineering,bioengineering,northeastern university,2025,NA
tufts university,engineering - bioengineering,engineering,bioengineering,massachusetts institute of technology,2025,NA
university of colorado at boulder,engineering - bioengineering,engineering,bioengineering,university of washington,2025,NA
university of california-los angeles,engineering - bioengineering,engineering,bioengineering,university of california-los angeles,2025,NA
stanford leland junior university,engineering - bioengineering,engineering,bioengineering,massachusetts institute of technology,2025,NA
yale university,engineering - bioengineering,engineering,bioengineering,"university of california, san francisco",2025,NA
new jersey institute of technology,engineering - bioengineering,engineering,bioengineering,new jersey institute of technology,2025,NA
"university of california, berkeley",engineering - bioengineering,engineering,bioengineering,"university of california, berkeley",2025,NA
"university of california, berkeley",engineering - bioengineering,engineering,bioengineering,"university of california, berkeley",2025,NA
purdue university,engineering - bioengineering,engineering,bioengineering,william marsh rice university,2025,NA
university of washington,engineering - bioengineering,engineering,bioengineering,university of washington,2025,NA
university of california-los angeles,engineering - bioengineering,engineering,bioengineering,university of pennsylvania,2025,NA
washington university,engineering - bioengineering,engineering,bioengineering,washington university,2025,NA
university of texas at dallas,engineering - bioengineering,engineering,bioengineering,university of texas at dallas,2025,NA
"university of maryland, college park",engineering - bioengineering,engineering,bioengineering,NA,2025,NA
university of chicago,engineering - bioengineering,engineering,bioengineering,university of pennsylvania,2025,NA
"university of california, berkeley",engineering - bioengineering,engineering,bioengineering,university of pennsylvania,2025,NA
harvard university,engineering - bioengineering,engineering,bioengineering,harvard university,2025,NA
georgia institute of technology,engineering - bioengineering,engineering,bioengineering,georgia institute of technology,2025,NA
"university of california, davis",engineering - bioengineering,engineering,bioengineering,NA,2025,NA
university of maryland baltimore county,engineering - bioengineering,engineering,bioengineering,georgia institute of technology,2025,NA
massachusetts institute of technology,engineering - bioengineering,engineering,bioengineering,massachusetts institute of technology,2025,NA
columbia university,engineering - bioengineering,engineering,bioengineering,NA,2025,NA
university of maryland,engineering - biomedical engineering,engineering,biomedical engineering,cornell university,2025,NA
massachusetts institute of technology,engineering - biomedical engineering,engineering,biomedical engineering,massachusetts institute of technology,2025,NA
university of south carolina at columbia,engineering - biomedical engineering,engineering,biomedical engineering,trustees of boston university,2025,NA
clemson university,engineering - biomedical engineering,engineering,biomedical engineering,clemson university,2025,NA
case western reserve university,engineering - biomedical engineering,engineering,biomedical engineering,NA,2025,NA
regents of the university of michigan - ann arbor,engineering - biomedical engineering,engineering,biomedical engineering,NA,2025,NA
"university of california, berkeley",engineering - biomedical engineering,engineering,biomedical engineering,NA,2025,NA
syracuse university,engineering - biomedical engineering,engineering,biomedical engineering,purdue university,2025,NA
carnegie-mellon university,engineering - biomedical engineering,engineering,biomedical engineering,georgia institute of technology,2025,NA
brigham young university,engineering - biomedical engineering,engineering,biomedical engineering,NA,2025,NA
"university of memphis, the",engineering - biomedical engineering,engineering,biomedical engineering,"university of memphis, the",2025,NA
west virginia university,engineering - biomedical engineering,engineering,biomedical engineering,west virginia university,2025,NA
columbia university,engineering - biomedical engineering,engineering,biomedical engineering,columbia university,2025,NA
university of texas at san antonio,engineering - biomedical engineering,engineering,biomedical engineering,university of texas at san antonio,2025,NA
university of virginia main campus,engineering - biomedical engineering,engineering,biomedical engineering,university of virginia main campus,2025,NA
clemson university,engineering - biomedical engineering,engineering,biomedical engineering,clemson university,2025,NA
university of florida,engineering - biomedical engineering,engineering,biomedical engineering,university of florida,2025,NA
university of south carolina at columbia,engineering - biomedical engineering,engineering,biomedical engineering,university of south carolina at columbia,2025,NA
university of florida,engineering - biomedical engineering,engineering,biomedical engineering,university of florida,2025,NA
pennsylvania state university,engineering - biomedical engineering,engineering,biomedical engineering,university of pittsburgh,2025,NA
columbia university,engineering - biomedical engineering,engineering,biomedical engineering,harvard university,2025,NA
south dakota school of mines and technology,engineering - biomedical engineering,engineering,biomedical engineering,south dakota school of mines and technology,2025,NA
duke university,engineering - biomedical engineering,engineering,biomedical engineering,duke university,2025,NA
university of oklahoma,engineering - biomedical engineering,engineering,biomedical engineering,university of oklahoma,2025,NA
"university of nevada, reno",engineering - biomedical engineering,engineering,biomedical engineering,"university of nevada, reno",2025,NA
university of virginia main campus,engineering - biomedical engineering,engineering,biomedical engineering,university of virginia main campus,2025,NA
syracuse university,engineering - biomedical engineering,engineering,biomedical engineering,syracuse university,2025,NA
university of san diego,engineering - biomedical engineering,engineering,biomedical engineering,duke university,2025,NA
johns hopkins university,engineering - biomedical engineering,engineering,biomedical engineering,johns hopkins university,2025,NA
clemson university,engineering - biomedical engineering,engineering,biomedical engineering,clemson university,2025,NA
michigan state university,engineering - biomedical engineering,engineering,biomedical engineering,michigan state university,2025,NA
university of new mexico,engineering - biomedical engineering,engineering,biomedical engineering,university of texas at austin,2025,NA
virginia polytechnic institute and state university,engineering - biomedical engineering,engineering,biomedical engineering,virginia polytechnic institute and state university,2025,NA
university of rochester,engineering - biomedical engineering,engineering,biomedical engineering,trustees of boston university,2025,NA
university of oklahoma,engineering - biomedical engineering,engineering,biomedical engineering,university of oklahoma,2025,NA
university of pennsylvania,engineering - biomedical engineering,engineering,biomedical engineering,university of pennsylvania,2025,NA
university of california-los angeles,engineering - biomedical engineering,engineering,biomedical engineering,NA,2025,NA
johns hopkins university,engineering - biomedical engineering,engineering,biomedical engineering,NA,2025,NA
massachusetts institute of technology,engineering - biomedical engineering,engineering,biomedical engineering,massachusetts institute of technology,2025,NA
regents of the university of michigan - ann arbor,engineering - biomedical engineering,engineering,biomedical engineering,regents of the university of michigan - ann arbor,2025,NA
georgia institute of technology,engineering - biomedical engineering,engineering,biomedical engineering,imperial college,2025,NA
duke university,engineering - biomedical engineering,engineering,biomedical engineering,duke university,2025,NA
rowan university,engineering - biomedical engineering,engineering,biomedical engineering,rowan university,2025,NA
georgia institute of technology,engineering - biomedical engineering,engineering,biomedical engineering,georgia institute of technology,2025,NA
villanova university,engineering - biomedical engineering,engineering,biomedical engineering,villanova university,2025,NA
university of oklahoma,engineering - biomedical engineering,engineering,biomedical engineering,university of oklahoma,2025,NA
regents of the university of michigan - ann arbor,engineering - biomedical engineering,engineering,biomedical engineering,university of wisconsin-madison,2025,NA
johns hopkins university,engineering - biomedical engineering,engineering,biomedical engineering,johns hopkins university,2025,NA
university of texas at dallas,engineering - biomedical engineering,engineering,biomedical engineering,university of texas at dallas,2025,NA
universidad de los andes,engineering - biomedical engineering,engineering,biomedical engineering,universidad de los andes,2025,NA
tufts university,engineering - biomedical engineering,engineering,biomedical engineering,columbia university,2025,NA
university of tennessee knoxville,engineering - biomedical engineering,engineering,biomedical engineering,university of tennessee knoxville,2025,NA
university of delaware,engineering - biomedical engineering,engineering,biomedical engineering,university of delaware,2025,NA
vanderbilt university,engineering - biomedical engineering,engineering,biomedical engineering,vanderbilt university,2025,NA
